Group,Network,GMV
Younger,DMN,0.40732752452036236
Younger,SMN,0.3639199175316878
Younger,VIS,0.5150122215802019
Younger,CC,0.32813603772341426
Younger,SC,0.33272728227354864
Younger,AUD,0.5207800983329013
Younger,DMN,0.4438465629608632
Younger,SMN,0.4792244920525888
Younger,VIS,0.5381660336496853
Younger,CC,0.3599565547246645
Younger,SC,0.4155373672895158
Younger,AUD,0.5221883445376098
Younger,DMN,0.31440094880330016
Younger,SMN,0.30575157807330894
Younger,VIS,0.37651797003968795
Younger,CC,0.26352636003142343
Younger,SC,0.28649730380210614
Younger,AUD,0.412420013486737
Younger,DMN,0.3900966869378982
Younger,SMN,0.35981859364593877
Younger,VIS,0.46337379345839663
Younger,CC,0.31381871514832466
Younger,SC,0.3200657719790133
Younger,AUD,0.5187673133732092
Younger,DMN,0.2846163721935705
Younger,SMN,0.29375946401345604
Younger,VIS,0.40372245017476754
Younger,CC,0.2735950525577949
Younger,SC,0.27526100420139055
Younger,AUD,0.4145349735262418
Younger,DMN,0.4062711659599046
Younger,SMN,0.39116302727147784
Younger,VIS,0.49418847142445915
Younger,CC,0.3548901883721918
Younger,SC,0.35515246370976616
Younger,AUD,0.5714151233133644
Younger,DMN,0.41686799023949594
Younger,SMN,0.3652880582394022
Younger,VIS,0.4856196196392329
Younger,CC,0.3332750010213597
Younger,SC,0.36415790593383285
Younger,AUD,0.4791005467525636
Younger,DMN,0.430076308680879
Younger,SMN,0.37459860719514615
Younger,VIS,0.5102575849553551
Younger,CC,0.3872379850766529
Younger,SC,0.360126563683403
Younger,AUD,0.5115199769386137
Younger,DMN,0.35893981184947527
Younger,SMN,0.29977731745351444
Younger,VIS,0.4877282617745375
Younger,CC,0.31739888394618604
Younger,SC,0.3264061654243706
Younger,AUD,0.431830007018465
Younger,DMN,0.366410532172532
Younger,SMN,0.33810066266192335
Younger,VIS,0.48150971351247845
Younger,CC,0.348139528555132
Younger,SC,0.3246178590513842
Younger,AUD,0.45819964207182035
Younger,DMN,0.4016759810277905
Younger,SMN,0.4165352972769978
Younger,VIS,0.4948417429219592
Younger,CC,0.36313175521767044
Younger,SC,0.37653083332911486
Younger,AUD,0.5488634175724454
Younger,DMN,0.36653486681277686
Younger,SMN,0.32413088966800707
Younger,VIS,0.46645637616665675
Younger,CC,0.3228298377352
Younger,SC,0.33106181159715864
Younger,AUD,0.48364307528192346
Younger,DMN,0.3507521033816767
Younger,SMN,0.2994828016468973
Younger,VIS,0.4532163009574317
Younger,CC,0.29045196083854957
Younger,SC,0.30101104176631477
Younger,AUD,0.4099079344910805
Younger,DMN,0.39267621020826876
Younger,SMN,0.3752403467743084
Younger,VIS,0.4983010357528022
Younger,CC,0.33737393880248606
Younger,SC,0.337044624655636
Younger,AUD,0.4913324585767707
Younger,DMN,0.2972176832507635
Younger,SMN,0.2841658646410162
Younger,VIS,0.3741120216295575
Younger,CC,0.27026418863270757
Younger,SC,0.27197891308828837
Younger,AUD,0.3622874363203241
Younger,DMN,0.35093381168365384
Younger,SMN,0.33298244899270507
Younger,VIS,0.43792007073308475
Younger,CC,0.29083177054779547
Younger,SC,0.30330070529622266
Younger,AUD,0.44854585269484853
Younger,DMN,0.3911852148236667
Younger,SMN,0.33641937186922694
Younger,VIS,0.466880821745203
Younger,CC,0.289671102295543
Younger,SC,0.3392776594017491
Younger,AUD,0.4540123175641502
Younger,DMN,0.3979756834315772
Younger,SMN,0.3428311376559614
Younger,VIS,0.5533764984722089
Younger,CC,0.33291773619032927
Younger,SC,0.3313357736539058
Younger,AUD,0.4774858671607393
Younger,DMN,0.40378802005479114
Younger,SMN,0.38101159382348104
Younger,VIS,0.4901972245236839
Younger,CC,0.33650415203381867
Younger,SC,0.36020390430985877
Younger,AUD,0.49769889555796226
Younger,DMN,0.4420153311348789
Younger,SMN,0.41171244674860824
Younger,VIS,0.5751506347547878
Younger,CC,0.3321850217016067
Younger,SC,0.3522651525283302
Younger,AUD,0.5249598647909935
Younger,DMN,0.33427473275309405
Younger,SMN,0.31028000092265584
Younger,VIS,0.41207632866471705
Younger,CC,0.30435154998339353
Younger,SC,0.3161972880689584
Younger,AUD,0.4356610357309833
Younger,DMN,0.36772812727632104
Younger,SMN,0.38478297529497535
Younger,VIS,0.45254282442608257
Younger,CC,0.28218844860600467
Younger,SC,0.311957863451104
Younger,AUD,0.4451750253487116
Younger,DMN,0.38783493168906186
Younger,SMN,0.3400280015787693
Younger,VIS,0.5209623437487717
Younger,CC,0.2837605764976631
Younger,SC,0.33121111385699875
Younger,AUD,0.48150702889519503
Younger,DMN,0.459600600830627
Younger,SMN,0.44559594913564554
Younger,VIS,0.5916139250150835
Younger,CC,0.37693592995728736
Younger,SC,0.3924812601647193
Younger,AUD,0.5860091893359868
Younger,DMN,0.3507726940543325
Younger,SMN,0.28061783991076733
Younger,VIS,0.4455021983294776
Younger,CC,0.25584786465160075
Younger,SC,0.2981816931354879
Younger,AUD,0.4478163306761269
Younger,DMN,0.38110506634196406
Younger,SMN,0.3551681401452633
Younger,VIS,0.47425412725318566
Younger,CC,0.32678028067289916
Younger,SC,0.32664469264522944
Younger,AUD,0.44691368252641017
Younger,DMN,0.44714542788251455
Younger,SMN,0.376137515586434
Younger,VIS,0.5540913493946346
Younger,CC,0.34940123110158056
Younger,SC,0.380073978073318
Younger,AUD,0.5472969664166673
Younger,DMN,0.40100650935386284
Younger,SMN,0.35332783176140353
Younger,VIS,0.4988261532000821
Younger,CC,0.3335761983044349
Younger,SC,0.35603441980350703
Younger,AUD,0.4942091226276725
Younger,DMN,0.39447983035604733
Younger,SMN,0.3309046858639428
Younger,VIS,0.49874943517374265
Younger,CC,0.3620245423405688
Younger,SC,0.336834767137212
Younger,AUD,0.44804070212624286
Younger,DMN,0.41689056828637516
Younger,SMN,0.3987952091477134
Younger,VIS,0.5199210116206997
Younger,CC,0.37469587601218957
Younger,SC,0.3582340840639089
Younger,AUD,0.5039923242246261
Younger,DMN,0.4483066395025073
Younger,SMN,0.4398708950088482
Younger,VIS,0.6076950711583851
Younger,CC,0.37183241284876273
Younger,SC,0.3877975244626955
Younger,AUD,0.5574930158227381
Younger,DMN,0.37567531373679425
Younger,SMN,0.3630805554414036
Younger,VIS,0.4813764100574484
Younger,CC,0.30901219446070277
Younger,SC,0.3304868270251085
Younger,AUD,0.4849053466259831
Younger,DMN,0.3942605963403292
Younger,SMN,0.33728713850782377
Younger,VIS,0.5425538474110642
Younger,CC,0.31445961168428455
Younger,SC,0.32837366498379594
Younger,AUD,0.4570648754485929
Younger,DMN,0.3518342777929225
Younger,SMN,0.3368072687375425
Younger,VIS,0.4849603734910488
Younger,CC,0.30413771513559723
Younger,SC,0.32491708273438097
Younger,AUD,0.48529927086348484
Elder,DMN,0.3504931627164534
Elder,SMN,0.34962173077193176
Elder,VIS,0.4762367202778055
Elder,CC,0.31511733670342507
Elder,SC,0.32434207420507666
Elder,AUD,0.4526170182860259
Elder,DMN,0.4097609769272746
Elder,SMN,0.3402851961477839
Elder,VIS,0.4926683670192054
Elder,CC,0.31897501263975864
Elder,SC,0.30838106977769025
Elder,AUD,0.43327818156191794
Elder,DMN,0.330723277292123
Elder,SMN,0.28076348976805954
Elder,VIS,0.3944487360616525
Elder,CC,0.2507268999740215
Elder,SC,0.2691576812253255
Elder,AUD,0.3410539685024155
Elder,DMN,0.34449497974993176
Elder,SMN,0.2736624566593555
Elder,VIS,0.4427197259107623
Elder,CC,0.26940434692696885
Elder,SC,0.2858497288880826
Elder,AUD,0.3828568816787064
Elder,DMN,0.3209988488490845
Elder,SMN,0.2911979354391194
Elder,VIS,0.40691857416220384
Elder,CC,0.261765647174156
Elder,SC,0.26786529458432085
Elder,AUD,0.3846513952570732
Elder,DMN,0.3078545099277814
Elder,SMN,0.2715670023903702
Elder,VIS,0.40582276489397495
Elder,CC,0.23457150442941957
Elder,SC,0.2540092283439656
Elder,AUD,0.3401199365505064
Elder,DMN,0.3047195436250102
Elder,SMN,0.28317366563009494
Elder,VIS,0.39195223664394535
Elder,CC,0.2431492901249253
Elder,SC,0.2724429132285142
Elder,AUD,0.3915023373232947
Elder,DMN,0.3352391593311613
Elder,SMN,0.30154222076890447
Elder,VIS,0.3977872898256538
Elder,CC,0.26758719104609513
Elder,SC,0.2935786207742763
Elder,AUD,0.3942099355085931
Elder,DMN,0.2892003003615598
Elder,SMN,0.26384616741026284
Elder,VIS,0.4117676612704691
Elder,CC,0.2565643885441106
Elder,SC,0.25576637272004926
Elder,AUD,0.3538868537906445
Elder,DMN,0.29102546388696016
Elder,SMN,0.2519587366794697
Elder,VIS,0.37861729706778663
Elder,CC,0.1991936373470192
Elder,SC,0.24315474752449628
Elder,AUD,0.33123171668161044
Elder,DMN,0.30062864097151426
Elder,SMN,0.23586979365409022
Elder,VIS,0.3851845784846581
Elder,CC,0.2607135459074295
Elder,SC,0.2759195327482842
Elder,AUD,0.3771468580822752
Elder,DMN,0.3691713638014136
Elder,SMN,0.2975836976459532
Elder,VIS,0.4627851861519645
Elder,CC,0.2896892356125392
Elder,SC,0.29658349600905926
Elder,AUD,0.3745589728909309
Elder,DMN,0.3481568238899308
Elder,SMN,0.32176385037224703
Elder,VIS,0.4097800611922837
Elder,CC,0.26551634916476363
Elder,SC,0.28161088317030614
Elder,AUD,0.4004452341433727
Elder,DMN,0.29586381131403466
Elder,SMN,0.2463124712759798
Elder,VIS,0.39218838490319974
Elder,CC,0.25493559736626936
Elder,SC,0.245252944228023
Elder,AUD,0.32543271358567055
Elder,DMN,0.3522024278209106
Elder,SMN,0.28850470009175216
Elder,VIS,0.4151524644758966
Elder,CC,0.3097873688246623
Elder,SC,0.2854433176154741
Elder,AUD,0.39110828078154364
Elder,DMN,0.37287644600077524
Elder,SMN,0.3065826451086035
Elder,VIS,0.4697339125730173
Elder,CC,0.276518573593799
Elder,SC,0.28425186958402304
Elder,AUD,0.4197614094374156
Elder,DMN,0.35116671454377957
Elder,SMN,0.3050084850854344
Elder,VIS,0.4405808861960064
Elder,CC,0.2885662193688034
Elder,SC,0.2748240299384903
Elder,AUD,0.39173693661436887
Elder,DMN,0.34760114471863235
Elder,SMN,0.29794610728218096
Elder,VIS,0.40036593268465515
Elder,CC,0.2548944557008968
Elder,SC,0.2711667954758663
Elder,AUD,0.35804839597807986
Elder,DMN,0.31059276922959234
Elder,SMN,0.2694669662400929
Elder,VIS,0.4352188821919638
Elder,CC,0.297382683088775
Elder,SC,0.2803286841132926
Elder,AUD,0.3830096628328767
Elder,DMN,0.29023273445943487
Elder,SMN,0.30561869877456416
Elder,VIS,0.42806131193282626
Elder,CC,0.25646518902242926
Elder,SC,0.2840003694598924
Elder,AUD,0.37467764182524244
Elder,DMN,0.3069864071399365
Elder,SMN,0.32273338509328436
Elder,VIS,0.404202432907892
Elder,CC,0.26414572722393187
Elder,SC,0.27536833923473103
Elder,AUD,0.37776942490929305
Elder,DMN,0.3319097394729822
Elder,SMN,0.2800715583743471
Elder,VIS,0.4118448741583511
Elder,CC,0.24806206858632424
Elder,SC,0.29789527811687005
Elder,AUD,0.36029097415281064
Elder,DMN,0.33001804032720244
Elder,SMN,0.262522484241712
Elder,VIS,0.4042516003052394
Elder,CC,0.29072189581713
Elder,SC,0.2850116863721348
Elder,AUD,0.3638505176311791
Elder,DMN,0.27164705859656363
Elder,SMN,0.22316841243041885
Elder,VIS,0.3703907216814431
Elder,CC,0.21439593917432823
Elder,SC,0.22181839667737285
Elder,AUD,0.29678274781414954
Elder,DMN,0.34856048716840554
Elder,SMN,0.3100352883338928
Elder,VIS,0.4340701560781459
Elder,CC,0.292032464377999
Elder,SC,0.29081846022294827
Elder,AUD,0.41826887451338046
Elder,DMN,0.3119813993154138
Elder,SMN,0.2604820638368226
Elder,VIS,0.4210234837926397
Elder,CC,0.2569860693910694
Elder,SC,0.2630748054646081
Elder,AUD,0.3420135976389201
Elder,DMN,0.2839273331262601
Elder,SMN,0.27048675452518944
Elder,VIS,0.3573235625946763
Elder,CC,0.23945260170057342
Elder,SC,0.2741507601105806
Elder,AUD,0.35133344762855107
Elder,DMN,0.31980400563132955
Elder,SMN,0.28447435269452104
Elder,VIS,0.4142766908337973
Elder,CC,0.2745844833371883
Elder,SC,0.27942806001915677
Elder,AUD,0.3666007630150728
